,기준_날짜,기준_시간대,전체_이용_분,전체_이용_거리,시작_동,종료_동,요일,구,면적
1086155,2024-04-19,845,39,3885,신정7동,목1동,금,양천구,1.21
742443,2024-04-18,825,10,1530,사당2동,반포본동,목,동작구,2.75
1099920,2024-04-19,920,86,1553,문래동,영등포동,금,영등포구,1.49
904524,2024-04-18,1815,4,663,구로1동,구로1동,목,구로구,1.02
971954,2024-04-18,2050,30,4319,명일2동,성내1동,목,강동구,0.97
214711,2024-04-16,1555,9,1650,삼청동,명동,화,종로구,1.49
1164153,2024-04-19,1415,7,2150,구로3동,신사동,금,구로구,1.02
473091,2024-04-17,1205,33,1960,신정6동,신정6동,수,양천구,0.96
1319379,2024-04-19,2105,9,1530,잠실6동,가락본동,금,송파구,2.79
760646,2024-04-18,900,22,4307,미아동,월계1동,목,강북구,0.93
420351,2024-04-17,830,8,1702,구의2동,능동,수,광진구,1.39
438695,2024-04-17,910,3,290,화곡1동,화곡8동,수,강서구,1.12
1200157,2024-04-19,1625,8,914,을지로동,명동,금,중구,0.60
778448,2024-04-18,1015,4,964,가양1동,방화1동,목,강서구,4.70
1468951,2024-04-21,920,7,657,신대방2동,신대방2동,일,동작구,1.03
1345572,2024-04-19,2240,48,10900,신사동,수서동,금,관악구,0.64
1569553,2024-04-21,1615,50,6812,성내1동,길동,일,강동구,0.58
1003070,2024-04-18,2230,10,1560,하계2동,중계2·3동,목,노원구,0.51
1632221,2024-04-21,1940,35,1220,사당1동,사당1동,일,동작구,0.79
641028,2024-04-17,2040,55,340,구로3동,구로3동,수,구로구,1.02
984379,2024-04-18,2130,50,9958,이태원1동,이촌2동,목,용산구,0.57
852927,2024-04-18,1615,11,1356,당산2동,영등포동,목,영등포구,1.55
494792,2024-04-17,1350,5,982,창신1동,창신3동,수,종로구,0.31
1216541,2024-04-19,1710,61,10269,신촌동,신대방2동,금,서대문구,2.63
853526,2024-04-18,1620,86,13189,시흥3동,시흥3동,목,금천구,1.07
54974,2024-04-15,1440,2,0,월곡2동,월곡2동,월,성북구,1.36
1250741,2024-04-19,1815,0,30,풍납1동,풍납1동,금,송파구,0.77
530887,2024-04-17,1625,4,438,중계2·3동,중계2·3동,수,,
1030124,2024-04-19,305,26,5140,천호3동,강일동,금,강동구,0.79
942495,2024-04-18,1925,21,2329,청담동,신사동,목,강남구,2.33
919267,2024-04-18,1840,21,4930,구로5동,개봉1동,목,구로구,1.03
1652187,2024-04-21,2110,4,838,자양1동,화양동,일,광진구,0.57
818174,2024-04-18,1340,19,2515,성수2가3동,구의1동,목,성동구,1.03
929430,2024-04-18,1855,75,6012,염창동,화곡6동,목,강서구,1.74
266082,2024-04-16,1810,5,710,개포1동,개포2동,화,강남구,1.27
1034928,2024-04-19,535,5,1110,가양1동,방화1동,금,강서구,4.70
1562052,2024-04-21,1550,5,646,당산2동,양평2동,일,영등포구,1.55
280011,2024-04-16,1835,5,872,중계1동,중계본동,화,노원구,0.63
25905,2024-04-15,710,5,764,화양동,성수2가3동,월,광진구,1.16
705187,2024-04-18,625,9,1985,신정7동,구로5동,목,양천구,1.21
758080,2024-04-18,855,7,1193,서초2동,서초2동,목,서초구,1.24
643264,2024-04-17,2050,46,4055,방학2동,방학2동,수,도봉구,0.74
1422657,2024-04-20,1410,46,10860,금호4가동,용강동,토,성동구,0.84
1191438,2024-04-19,1600,45,893,공릉2동,공릉2동,금,노원구,6.82
1346674,2024-04-19,2245,14,1820,신정2동,양평1동,금,양천구,0.52
1275420,2024-04-19,1900,36,3538,화양동,자양3동,금,광진구,1.16
404032,2024-04-17,755,17,2436,고척1동,신월2동,수,구로구,1.16
1524522,2024-04-21,1345,31,5423,당산2동,공덕동,일,영등포구,1.55
1410451,2024-04-20,1020,11,2210,화곡8동,목1동,토,강서구,0.53
355645,2024-04-16,2250,11,2222,수유3동,번3동,화,강북구,0.72
117198,2024-04-15,2250,31,6108,불광1동,수색동,월,은평구,3.13
977791,2024-04-18,2105,59,11170,서교동,한강로동,목,마포구,1.65
1572409,2024-04-21,1620,83,2440,연남동,서교동,일,마포구,0.64
1577811,2024-04-21,1640,8,1913,월계3동,월계3동,일,노원구,1.17
490437,2024-04-17,1325,1,0,성수1가1동,성수1가1동,수,성동구,1.97
1536933,2024-04-21,1425,34,4270,진관동,역촌동,일,은평구,11.53
494522,2024-04-17,1345,0,0,신길1동,신길1동,수,영등포구,0.66
814184,2024-04-18,1320,12,1257,망원1동,서교동,목,마포구,1.13
495431,2024-04-17,1350,44,2698,상암동,상암동,수,마포구,8.40
444847,2024-04-17,935,17,2654,천호3동,풍납2동,수,강동구,0.79
4493,2024-04-15,55,76,23541,청룡동,여의동,월,관악구,1.18
1033646,2024-04-19,500,16,2525,용신동,청량리동,금,동대문구,1.61
492177,2024-04-17,1335,3,459,구로2동,구로1동,수,구로구,1.76
1402863,2024-04-20,920,112,2462,중계2·3동,중계2·3동,토,,
1518475,2024-04-21,1325,18,1092,방배3동,사당1동,일,서초구,2.40
1368662,2024-04-20,125,4,637,합정동,합정동,토,마포구,1.72
256560,2024-04-16,1755,11,1064,성산2동,서교동,화,마포구,2.07
1452209,2024-04-21,420,3,777,신사동,신림동,일,관악구,0.64
1251607,2024-04-19,1815,84,2124,신정2동,목1동,금,양천구,0.52
1249533,2024-04-19,1815,11,1534,서교동,신촌동,금,마포구,1.65
1543499,2024-04-21,1450,13,1340,양재2동,양재1동,일,서초구,7.58
172398,2024-04-16,1205,8,1060,이문1동,회기동,화,동대문구,1.04
1649294,2024-04-21,2055,8,1030,용신동,용신동,일,동대문구,1.61
1419806,2024-04-20,1320,4,368,여의동,여의동,토,영등포구,8.40
1176780,2024-04-19,1510,124,14305,성수1가1동,구의2동,금,성동구,1.97
1560334,2024-04-21,1545,16,2087,목1동,문래동,일,양천구,1.41
54341,2024-04-15,1350,6,910,발산1동,가양1동,월,강서구,2.94
894481,2024-04-18,1800,25,4316,잠실3동,자양3동,목,송파구,1.49
775170,2024-04-18,955,3,549,가양1동,가양1동,목,강서구,4.70
1406503,2024-04-20,940,9,1592,상계5동,중계본동,토,노원구,1.01
500991,2024-04-17,1420,5,1055,방화1동,가양1동,수,강서구,1.48
830484,2024-04-18,1445,6,1170,장지동,장지동,목,송파구,1.37
411414,2024-04-17,810,7,1050,천호3동,천호2동,수,강동구,0.79
1028394,2024-04-19,220,10,1197,성내3동,길동,금,강동구,0.71
245666,2024-04-16,1730,10,1280,자양3동,자양3동,화,광진구,1.20
640407,2024-04-17,2040,71,7111,쌍문1동,송중동,수,도봉구,1.24
220492,2024-04-16,1615,6,900,장지동,가락2동,화,송파구,1.37
553925,2024-04-17,1730,22,1416,월계1동,번3동,수,노원구,1.16
1238444,2024-04-19,1755,12,1558,여의동,영등포본동,금,영등포구,8.40
582345,2024-04-17,1820,28,1232,가양1동,가양1동,수,강서구,4.70
1193661,2024-04-19,1605,18,2520,역삼1동,양재2동,금,강남구,2.35
551327,2024-04-17,1720,16,2277,반포1동,잠원동,수,서초구,1.00
861580,2024-04-18,1645,42,989,신당동,신당동,목,중구,0.55
1285608,2024-04-19,1920,20,2390,화양동,사근동,금,광진구,1.16
357131,2024-04-16,2255,4,903,응암1동,응암3동,화,은평구,1.20
994000,2024-04-18,2200,7,900,중계4동,상계3·4동,목,노원구,1.70
541050,2024-04-17,1655,5,877,혜화동,종로1·2·3·4가동,수,종로구,1.12
1618000,2024-04-21,1845,116,15620,제기동,행당1동,일,동대문구,1.18
515130,2024-04-17,1525,9,1455,증산동,남가좌1동,수,은평구,0.81
1019021,2024-04-19,20,12,1762,연희동,신촌동,금,서대문구,3.05
722720,2024-04-18,740,5,931,서초2동,서초2동,목,서초구,1.24
194363,2024-04-16,1410,5,420,잠실4동,잠실4동,화,송파구,1.56
222331,2024-04-16,1620,9,1639,화양동,구의1동,화,광진구,1.16
266092,2024-04-16,1810,4,420,방화1동,방화1동,화,강서구,1.48
923782,2024-04-18,1845,4,230,가산동,가산동,목,금천구,2.52
473871,2024-04-17,1210,4,730,신정6동,신정4동,수,양천구,0.96
601811,2024-04-17,1855,8,1040,중계2·3동,중계1동,수,,
49356,2024-04-15,905,4,725,문정2동,가락1동,월,송파구,2.20
1580378,2024-04-21,1645,5,819,상계2동,상계6·7동,일,노원구,0.61
411062,2024-04-17,810,4,710,신도림동,문래동,수,구로구,1.47
