,기준_날짜,기준_시간대,전체_이용_분,전체_이용_거리,시작_동,종료_동,요일
735962,2024-04-18,810,8,1870,가양1동,방화1동,목
503954,2024-04-17,1435,16,2680,가양1동,가양1동,수
1002765,2024-04-18,2230,22,1363,가양3동,등촌1동,목
1232051,2024-04-19,1745,15,1504,가양1동,가양1동,금
1195661,2024-04-19,1615,5,1155,가양1동,가양1동,금
295431,2024-04-16,1910,34,1731,가양1동,가양2동,화
441783,2024-04-17,925,1,270,가양1동,공항동,수
528082,2024-04-17,1615,7,30,가양1동,가양1동,수
448475,2024-04-17,950,10,1563,가양1동,가양1동,수
1160017,2024-04-19,1400,22,3100,가양1동,가양3동,금
1178882,2024-04-19,1515,7,1250,가양1동,가양1동,금
645961,2024-04-17,2100,28,4768,가양3동,당산2동,수
881456,2024-04-18,1735,12,2090,가양1동,등촌1동,목
832268,2024-04-18,1450,6,1030,가양3동,가양2동,목
1640401,2024-04-21,2015,6,988,가양3동,등촌1동,일
986253,2024-04-18,2135,8,1346,가양2동,등촌3동,목
992256,2024-04-18,2155,8,2693,가양1동,공항동,목
1417039,2024-04-20,1230,3,530,가양1동,가양1동,토
418880,2024-04-17,825,6,1086,가양1동,가양1동,수
772780,2024-04-18,945,28,5526,가양1동,신월1동,목
1090129,2024-04-19,850,20,3470,가양1동,방화3동,금
1276910,2024-04-19,1900,11,5387,가양3동,염창동,금
492495,2024-04-17,1335,9,1840,가양1동,가양1동,수
615089,2024-04-17,1920,14,1648,가양1동,공항동,수
1456623,2024-04-21,700,4,980,가양1동,발산1동,일
542972,2024-04-17,1700,2,456,가양1동,가양1동,수
607135,2024-04-17,1905,4,826,가양1동,방화1동,수
120153,2024-04-15,2315,7,1525,가양1동,가양2동,월
882555,2024-04-18,1735,6,1280,가양1동,가양1동,목
1534616,2024-04-21,1420,5,823,가양1동,가양1동,일
974971,2024-04-18,2100,30,418,가양1동,가양1동,목
1012466,2024-04-18,2320,29,5112,가양3동,방화1동,목
66333,2024-04-15,1810,12,907,가양3동,등촌3동,월
4583,2024-04-15,55,17,1837,가양2동,화곡6동,월
654504,2024-04-17,2130,11,1862,가양1동,가양1동,수
362492,2024-04-16,2340,4,515,가양1동,가양1동,화
553576,2024-04-17,1730,10,1190,가양1동,발산1동,수
1636258,2024-04-21,2000,24,3830,가양1동,화곡본동,일
1213021,2024-04-19,1705,12,1962,가양1동,공항동,금
650138,2024-04-17,2115,27,3281,가양1동,가양1동,수
497590,2024-04-17,1400,8,1146,가양1동,가양1동,수
492259,2024-04-17,1335,15,640,가양1동,가양1동,수
1431465,2024-04-20,2100,13,2060,가양1동,방화3동,토
142112,2024-04-16,750,97,652,가양1동,가양1동,화
311077,2024-04-16,1955,4,917,가양1동,발산1동,화
1296745,2024-04-19,1950,10,1476,가양1동,가양1동,금
