,기준_날짜,기준_시간대,전체_이용_분,전체_이용_거리,시작_동,종료_동,요일
547370,2024-04-17,1710,12,1512,반포2동,방배본동,수
81526,2024-04-15,1920,6,573,반포4동,반포1동,월
238369,2024-04-16,1710,286,6459,반포4동,반포2동,화
684552,2024-04-18,0,15,2130,반포4동,방배4동,목
442920,2024-04-17,925,11,765,반포3동,반포4동,수
1064556,2024-04-19,800,3,655,반포2동,반포4동,금
1654572,2024-04-21,2120,2,190,반포3동,반포3동,일
606682,2024-04-17,1905,13,1970,반포1동,서초1동,수
1277189,2024-04-19,1900,17,1188,반포3동,,금
1643387,2024-04-21,2030,4,216,반포3동,반포3동,일
968294,2024-04-18,2035,63,7235,반포2동,한강로동,목
652324,2024-04-17,2120,11,1460,반포2동,반포4동,수
1414807,2024-04-20,1150,120,1933,반포1동,반포1동,토
1174587,2024-04-19,1500,115,14463,반포1동,군자동,금
782195,2024-04-18,1035,15,3550,반포3동,한남동,목
82649,2024-04-15,1925,56,13998,반포2동,반포2동,월
202879,2024-04-16,1455,7,670,반포4동,반포2동,화
823052,2024-04-18,1405,23,3444,반포4동,남현동,목
978269,2024-04-18,2110,30,3332,반포2동,신사동,목
1033919,2024-04-19,510,46,11467,반포3동,잠실6동,금
1416591,2024-04-20,1220,6,800,반포2동,반포3동,토
774905,2024-04-18,955,9,2310,반포1동,반포1동,목
505465,2024-04-17,1440,29,3030,반포3동,방배4동,수
1524240,2024-04-21,1345,23,2679,반포3동,반포3동,일
1646149,2024-04-21,2040,18,2352,반포1동,역삼1동,일
1673553,2024-04-21,2305,25,5159,반포1동,흑석동,일
1410856,2024-04-20,1035,155,2451,반포2동,반포2동,토
1461099,2024-04-21,810,34,8187,반포3동,사근동,일
1452096,2024-04-21,415,6,1251,반포1동,서초1동,일
1298390,2024-04-19,1955,5,888,반포3동,반포3동,금
1346189,2024-04-19,2245,29,2672,반포본동,반포3동,금
1672647,2024-04-21,2300,16,1018,반포4동,반포4동,일
21608,2024-04-15,645,5,780,반포1동,서초2동,월
312521,2024-04-16,2000,40,8396,반포2동,반포3동,화
88535,2024-04-15,2000,5,831,반포1동,반포1동,월
108552,2024-04-15,2200,4,710,반포1동,논현1동,월
90604,2024-04-15,2010,6,1195,반포3동,잠원동,월
1523684,2024-04-21,1340,14,1637,반포2동,반포1동,일
1007020,2024-04-18,2250,36,5772,반포2동,노량진1동,목
978954,2024-04-18,2110,6,1189,반포2동,반포4동,목
702480,2024-04-18,555,61,450,반포4동,반포2동,목
737883,2024-04-18,815,5,736,반포2동,반포4동,목
1356709,2024-04-19,2340,69,9500,반포1동,반포1동,금
1146693,2024-04-19,1300,33,5120,반포3동,반포3동,금
1661120,2024-04-21,2155,25,3918,반포3동,이촌1동,일
1661119,2024-04-21,2155,7,690,반포3동,반포3동,일
1032566,2024-04-19,415,87,12210,반포3동,반포3동,금
380299,2024-04-17,555,48,11560,반포2동,잠실6동,수
1678256,2024-04-21,2350,3,641,반포2동,반포4동,일
434086,2024-04-17,855,55,2704,반포2동,방배2동,수
304355,2024-04-16,1935,20,2141,반포3동,서초3동,화
1310442,2024-04-19,2035,158,3080,반포2동,반포3동,금
1602484,2024-04-21,1755,6,492,반포1동,반포1동,일
1458333,2024-04-21,735,34,8187,반포3동,사근동,일
388924,2024-04-17,705,3,726,반포1동,잠원동,수
135554,2024-04-16,555,26,4688,반포1동,흑석동,화
701179,2024-04-18,535,79,7133,반포4동,노량진2동,목
1427748,2024-04-20,1735,59,7021,반포2동,한남동,토
223058,2024-04-16,1620,33,5588,반포1동,잠원동,화
492769,2024-04-17,1340,12,1396,반포1동,역삼1동,수
1460907,2024-04-21,810,7,1062,반포3동,반포1동,일
1619977,2024-04-21,1855,22,3200,반포3동,방배4동,일
515867,2024-04-17,1525,17,3150,반포4동,사당1동,수
1426672,2024-04-20,1635,104,7390,반포3동,반포3동,토
64919,2024-04-15,1800,35,6162,반포1동,행운동,월
951229,2024-04-18,1945,88,7734,반포4동,잠원동,목
463330,2024-04-17,1120,8,781,반포2동,사당2동,수
850224,2024-04-18,1610,10,2210,반포3동,논현1동,목
1141001,2024-04-19,1240,23,3368,반포4동,방배2동,금
445350,2024-04-17,940,4,814,반포2동,반포2동,수
511096,2024-04-17,1505,8,1270,반포3동,잠원동,수
162521,2024-04-16,1055,3,642,반포4동,반포2동,화
56089,2024-04-15,1525,2,385,반포3동,반포3동,월
245517,2024-04-16,1730,48,10281,반포4동,당산2동,화
356131,2024-04-16,2250,19,3150,반포3동,방배본동,화
1545235,2024-04-21,1455,56,12030,반포3동,잠실3동,일
342991,2024-04-16,2150,13,2582,반포2동,서빙고동,화
594309,2024-04-17,1840,33,2140,반포3동,잠원동,수
688807,2024-04-18,50,13,2070,반포1동,반포4동,목
902439,2024-04-18,1810,18,2743,반포4동,방배4동,목
1499971,2024-04-21,1210,11,1375,반포1동,반포1동,일
117704,2024-04-15,2255,13,2506,반포1동,방배본동,월
5363,2024-04-15,105,19,2720,반포1동,서초4동,월
1616246,2024-04-21,1840,39,2522,반포2동,사당3동,일
1567403,2024-04-21,1605,40,3468,반포3동,반포3동,일
938826,2024-04-18,1915,28,3694,반포1동,방배4동,목
