,기준_날짜,기준_시간대,전체_이용_분,전체_이용_거리,시작_동,종료_동,요일
579969,2024-04-17,1815,35,5719,서초3동,개포1동,수
418338,2024-04-17,825,26,3876,서초2동,내곡동,수
1671400,2024-04-21,2250,219,44609,서초2동,목1동,일
1212769,2024-04-19,1705,7,1080,서초2동,서초4동,금
195687,2024-04-16,1420,9,979,서초3동,방배3동,화
763003,2024-04-18,910,16,3190,서초2동,양재2동,목
1487734,2024-04-21,1115,8,558,서초2동,서초2동,일
69235,2024-04-15,1820,6,1258,서초1동,서초2동,월
1401243,2024-04-20,905,14,1110,서초3동,서초3동,토
1138252,2024-04-19,1225,109,1820,서초4동,서초4동,금
174386,2024-04-16,1220,26,1982,서초2동,서초2동,화
1503608,2024-04-21,1225,10,1590,서초3동,서초1동,일
195484,2024-04-16,1420,30,3100,서초3동,사당1동,화
991942,2024-04-18,2155,28,4030,서초2동,방배4동,목
825119,2024-04-18,1415,118,460,서초3동,서초3동,목
1672134,2024-04-21,2300,11,2240,서초4동,서초3동,일
784466,2024-04-18,1050,10,1100,서초4동,서초4동,목
206200,2024-04-16,1515,35,5630,서초3동,용산2가동,화
344504,2024-04-16,2200,50,8659,서초2동,잠실6동,화
380519,2024-04-17,600,10,477,서초4동,역삼1동,수
1106558,2024-04-19,950,3,678,서초3동,서초3동,금
1288444,2024-04-19,1930,11,1390,서초2동,역삼1동,금
264684,2024-04-16,1810,11,1659,서초2동,서초1동,화
712792,2024-04-18,710,8,1324,서초1동,서초1동,목
895731,2024-04-18,1800,17,3036,서초2동,서초3동,목
870347,2024-04-18,1710,8,1286,서초3동,서초3동,목
1041806,2024-04-19,645,61,5212,서초2동,서초2동,금
1057600,2024-04-19,745,3,754,서초2동,서초1동,금
774825,2024-04-18,955,17,2185,서초3동,서초2동,목
1527132,2024-04-21,1355,18,2782,서초3동,반포3동,일
878487,2024-04-18,1730,6,1110,서초2동,서초4동,목
1333916,2024-04-19,2200,6,1299,서초2동,양재1동,금
548497,2024-04-17,1715,1,350,서초3동,서초3동,수
1288655,2024-04-19,1930,20,2935,서초2동,반포1동,금
560229,2024-04-17,1740,26,737,서초3동,서초3동,수
1575819,2024-04-21,1630,22,1019,서초1동,,일
763710,2024-04-18,910,4,702,서초2동,역삼1동,목
579784,2024-04-17,1815,13,1850,서초2동,반포1동,수
384387,2024-04-17,640,4,790,서초2동,서초2동,수
134184,2024-04-16,525,10,1740,서초2동,양재1동,화
1340366,2024-04-19,2220,62,5376,서초3동,사당1동,금
765612,2024-04-18,920,7,1773,서초1동,반포1동,목
895733,2024-04-18,1800,2,230,서초2동,양재1동,목
1119276,2024-04-19,1055,7,1340,서초3동,서초1동,금
1581034,2024-04-21,1650,36,1945,서초4동,논현1동,일
261803,2024-04-16,1805,57,4441,서초3동,,화
1367287,2024-04-20,115,54,11153,서초2동,문정2동,토
320186,2024-04-16,2025,85,4850,서초2동,양재2동,화
560638,2024-04-17,1745,16,3343,서초4동,방배1동,수
508633,2024-04-17,1455,118,2403,서초2동,서초2동,수
327720,2024-04-16,2055,81,8705,서초2동,성수2가3동,화
1606772,2024-04-21,1810,69,7018,서초2동,반포3동,일
1399025,2024-04-20,855,4,743,서초4동,서초2동,토
950389,2024-04-18,1945,5,750,서초2동,역삼1동,목
829776,2024-04-18,1440,72,14573,서초3동,목1동,목
1398512,2024-04-20,850,14,1110,서초3동,서초3동,토
