,기준_날짜,기준_시간대,전체_이용_분,전체_이용_거리,시작_동,종료_동,요일
115949,2024-04-15,2240,8,1500,신림동,은천동,월
1661424,2024-04-21,2155,17,1888,신림동,청룡동,일
842116,2024-04-18,1535,22,3060,신림동,대학동,목
1515100,2024-04-21,1310,10,1260,신림동,신사동,일
371083,2024-04-17,135,19,4040,신림동,독산4동,수
1564425,2024-04-21,1555,15,3410,신림동,구로3동,일
619971,2024-04-17,1935,3,480,신림동,신사동,수
761447,2024-04-18,900,5,847,신림동,은천동,목
297997,2024-04-16,1915,4,890,신림동,신사동,화
887738,2024-04-18,1745,10,1466,신림동,조원동,목
130681,2024-04-16,205,46,2701,신림동,신림동,화
673107,2024-04-17,2240,74,4691,신림동,신림동,수
1276162,2024-04-19,1900,21,2680,신림동,서림동,금
554343,2024-04-17,1730,15,910,신림동,구로3동,수
400424,2024-04-17,745,8,949,신림동,신사동,수
1018052,2024-04-19,10,12,1570,신림동,조원동,금
508512,2024-04-17,1455,7,1332,신림동,조원동,수
355091,2024-04-16,2245,14,950,신림동,신사동,화
51822,2024-04-15,1200,11,792,신림동,신림동,월
8934,2024-04-15,215,12,2101,신림동,삼성동,월
1379392,2024-04-20,410,29,4450,신림동,대림3동,토
111374,2024-04-15,2210,12,2171,신림동,서림동,월
840941,2024-04-18,1530,90,18360,신림동,당산2동,목
1652668,2024-04-21,2110,7,1161,신림동,신사동,일
1646783,2024-04-21,2045,36,6381,신림동,은천동,일
506837,2024-04-17,1445,40,4125,신림동,서원동,수
1614776,2024-04-21,1835,4,948,신림동,신사동,일
727521,2024-04-18,750,6,784,신림동,보라매동,목
663248,2024-04-17,2200,9,1323,신림동,신사동,수
661536,2024-04-17,2155,13,1880,신림동,삼성동,수
739296,2024-04-18,820,28,3694,신림동,낙성대동,목
1375514,2024-04-20,250,11,2158,신림동,조원동,토
1534936,2024-04-21,1420,116,13860,신림동,서원동,일
11581,2024-04-15,355,15,2626,신림동,노량진2동,월
624543,2024-04-17,1945,21,3340,신림동,구로3동,수
619041,2024-04-17,1930,8,2118,신림동,신대방1동,수
609717,2024-04-17,1910,57,7652,신림동,구로5동,수
441124,2024-04-17,920,8,720,신림동,신림동,수
1357272,2024-04-19,2345,6,788,신림동,신사동,금
748151,2024-04-18,835,15,3615,신림동,독산1동,목
1149941,2024-04-19,1315,70,6647,신림동,신림동,금
1203434,2024-04-19,1635,19,1129,신림동,신사동,금
372823,2024-04-17,205,5,980,신림동,신사동,수
1516933,2024-04-21,1315,3,472,신림동,신사동,일
603743,2024-04-17,1855,37,9834,신림동,목5동,수
1553172,2024-04-21,1520,85,7337,신림동,신림동,일
407981,2024-04-17,805,22,4043,신림동,도림동,수
513257,2024-04-17,1515,97,1330,신림동,신사동,수
371795,2024-04-17,145,34,6730,신림동,문래동,수
54619,2024-04-15,1415,5,714,신림동,신사동,월
353972,2024-04-16,2240,7,1170,신림동,신사동,화
1378539,2024-04-20,345,37,3968,신림동,구로4동,토
678470,2024-04-17,2305,73,19392,신림동,신림동,수
546633,2024-04-17,1710,16,2417,신림동,신대방1동,수
128854,2024-04-16,120,4,1014,신림동,신사동,화
1002721,2024-04-18,2230,17,3288,신림동,구로3동,목
312780,2024-04-16,2000,58,4906,신림동,신사동,화
1543480,2024-04-21,1450,94,4521,신림동,신림동,일
1009887,2024-04-18,2305,31,4872,신림동,신사동,목
1454860,2024-04-21,610,28,3210,신림동,신림동,일
272063,2024-04-16,1820,25,2769,신림동,삼성동,화
257280,2024-04-16,1755,18,2827,신림동,조원동,화
1464109,2024-04-21,840,69,1997,신림동,신림동,일
656242,2024-04-17,2135,23,2640,신림동,청룡동,수
771656,2024-04-18,940,4,700,신림동,신사동,목
1384746,2024-04-20,635,3,530,신림동,신사동,토
353341,2024-04-16,2235,26,3926,신림동,난곡동,화
1147083,2024-04-19,1300,12,6265,신림동,신사동,금
935236,2024-04-18,1910,57,1747,신림동,신길6동,목
1673510,2024-04-21,2305,29,5411,신림동,조원동,일
1298933,2024-04-19,1955,6,920,신림동,신사동,금
596967,2024-04-17,1845,63,4072,신림동,신사동,수
312778,2024-04-16,2000,11,2201,신림동,신대방2동,화
122130,2024-04-15,2335,12,2106,신림동,삼성동,월
1572797,2024-04-21,1625,28,3367,신림동,신림동,일
