,기준_날짜,기준_시간대,전체_이용_분,전체_이용_거리,시작_동,종료_동,요일
959595,2024-04-18,2010,30,4834,여의동,아현동,목
422930,2024-04-17,835,13,1810,여의동,여의동,수
674456,2024-04-17,2245,38,6576,여의동,등촌2동,수
1554880,2024-04-21,1525,21,760,여의동,여의동,일
1613966,2024-04-21,1830,29,3666,여의동,도화동,일
855410,2024-04-18,1625,37,1341,여의동,여의동,목
1506247,2024-04-21,1235,22,2638,여의동,영등포동,일
1187355,2024-04-19,1545,34,4454,여의동,합정동,금
1176245,2024-04-19,1505,4,435,여의동,여의동,금
576122,2024-04-17,1810,9,836,여의동,신길1동,수
228530,2024-04-16,1640,14,2480,여의동,영등포본동,화
886437,2024-04-18,1745,8,846,여의동,여의동,목
71315,2024-04-15,1830,6,111,여의동,여의동,월
927035,2024-04-18,1850,110,9174,여의동,목5동,목
215047,2024-04-16,1555,21,3790,여의동,도화동,화
966829,2024-04-18,2030,9,1900,여의동,여의동,목
1292774,2024-04-19,1940,7,805,여의동,여의동,금
28488,2024-04-15,720,9,1205,여의동,영등포동,월
1623671,2024-04-21,1905,21,3295,여의동,아현동,일
576035,2024-04-17,1810,52,12330,여의동,옥수동,수
1303630,2024-04-19,2010,122,3100,여의동,당산1동,금
476027,2024-04-17,1220,4,830,여의동,여의동,수
1532838,2024-04-21,1410,12,1186,여의동,영등포본동,일
311996,2024-04-16,1955,19,220,여의동,여의동,화
876140,2024-04-18,1720,78,21126,여의동,종암동,목
1227377,2024-04-19,1735,117,3688,여의동,여의동,금
741704,2024-04-18,820,3,600,여의동,여의동,목
